filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.9141	1.0000	0.9551	25121	25121
has_any_hit	0	0.9167	0.9975	0.9554	24986	25121
pident_ge	0	0.9167	0.9975	0.9554	24986	25121
pident_ge	5	0.9167	0.9975	0.9554	24986	25121
pident_ge	10	0.9167	0.9975	0.9554	24986	25121
pident_ge	15	0.9167	0.9975	0.9554	24986	25121
pident_ge	20	0.9167	0.9975	0.9554	24986	25121
pident_ge	25	0.9167	0.9975	0.9554	24986	25121
pident_ge	30	0.9169	0.9974	0.9554	24980	25121
pident_ge	35	0.9183	0.9972	0.9561	24934	25121
pident_ge	40	0.9195	0.9958	0.9561	24867	25121
pident_ge	45	0.9217	0.9936	0.9563	24752	25121
pident_ge	50	0.9235	0.9895	0.9553	24603	25121
pident_ge	55	0.9262	0.9807	0.9527	24314	25121
pident_ge	60	0.9300	0.9680	0.9486	23900	25121
pident_ge	65	0.9345	0.9489	0.9416	23318	25121
pident_ge	70	0.9396	0.9194	0.9294	22470	25121
pident_ge	75	0.9447	0.8764	0.9093	21302	25121
pident_ge	80	0.9506	0.8113	0.8754	19598	25121
pident_ge	85	0.9573	0.6965	0.8064	16707	25121
pident_ge	90	0.9647	0.4938	0.6533	11755	25121
pident_ge	95	0.9669	0.2000	0.3314	4749	25121
pident_ge	100	0.9531	0.0106	0.0210	256	25121
qcov_ge	0	0.9167	0.9975	0.9554	24986	25121
qcov_ge	5	0.9167	0.9975	0.9554	24986	25121
qcov_ge	10	0.9168	0.9970	0.9552	24973	25121
qcov_ge	15	0.9169	0.9967	0.9552	24960	25121
qcov_ge	20	0.9171	0.9959	0.9549	24936	25121
qcov_ge	25	0.9172	0.9952	0.9546	24915	25121
qcov_ge	30	0.9174	0.9945	0.9544	24894	25121
qcov_ge	35	0.9175	0.9936	0.9540	24868	25121
qcov_ge	40	0.9176	0.9927	0.9537	24842	25121
qcov_ge	45	0.9179	0.9913	0.9532	24798	25121
qcov_ge	50	0.9181	0.9901	0.9528	24762	25121
qcov_ge	55	0.9186	0.9885	0.9523	24711	25121
qcov_ge	60	0.9192	0.9862	0.9515	24636	25121
qcov_ge	65	0.9199	0.9837	0.9507	24554	25121
qcov_ge	70	0.9204	0.9813	0.9499	24482	25121
qcov_ge	75	0.9212	0.9785	0.9490	24392	25121
qcov_ge	80	0.9228	0.9744	0.9479	24248	25121
qcov_ge	85	0.9248	0.9662	0.9450	23990	25121
qcov_ge	90	0.9281	0.9551	0.9414	23631	25121
qcov_ge	95	0.9340	0.9300	0.9320	22864	25121
qcov_ge	100	0.9561	0.6753	0.7915	16219	25121
bitscore_ge	0	0.9167	0.9975	0.9554	24986	25121
bitscore_ge	25	0.9167	0.9975	0.9554	24986	25121
bitscore_ge	50	0.9168	0.9973	0.9553	24980	25121
bitscore_ge	75	0.9189	0.9932	0.9546	24820	25121
bitscore_ge	100	0.9219	0.9870	0.9533	24584	25121
bitscore_ge	150	0.9286	0.9611	0.9446	23765	25121
bitscore_ge	200	0.9342	0.9185	0.9263	22577	25121
bitscore_ge	250	0.9379	0.8685	0.9019	21265	25121
bitscore_ge	300	0.9407	0.8208	0.8766	20035	25121
bitscore_ge	400	0.9463	0.7201	0.8178	17473	25121
bitscore_ge	500	0.9503	0.6111	0.7438	14766	25121
evalue_le_1e	-10	0.9180	0.9955	0.9552	24903	25121
evalue_le_1e	-5	0.9167	0.9975	0.9554	24986	25121
evalue_le_1e	-3	0.9167	0.9975	0.9554	24986	25121
evalue_le_1e	-2	0.9167	0.9975	0.9554	24986	25121
evalue_le_1e	-1	0.9167	0.9975	0.9554	24986	25121
evalue_le_1e	0	0.9167	0.9975	0.9554	24986	25121
pident_ge_qcov50	0	0.9181	0.9901	0.9528	24762	25121
pident_ge_qcov50	10	0.9181	0.9901	0.9528	24762	25121
pident_ge_qcov50	20	0.9181	0.9901	0.9528	24762	25121
pident_ge_qcov50	30	0.9183	0.9900	0.9528	24757	25121
pident_ge_qcov50	40	0.9208	0.9885	0.9535	24649	25121
pident_ge_qcov50	50	0.9246	0.9824	0.9526	24398	25121
pident_ge_qcov50	60	0.9309	0.9615	0.9460	23720	25121
pident_ge_qcov50	70	0.9403	0.9139	0.9269	22317	25121
pident_ge_qcov50	80	0.9511	0.8075	0.8734	19497	25121
pident_ge_qcov50	90	0.9652	0.4921	0.6519	11709	25121
pident_ge_qcov50	100	0.9529	0.0106	0.0209	255	25121
pident_ge_qcov70	0	0.9204	0.9813	0.9499	24482	25121
pident_ge_qcov70	10	0.9204	0.9813	0.9499	24482	25121
pident_ge_qcov70	20	0.9204	0.9813	0.9499	24482	25121
pident_ge_qcov70	30	0.9205	0.9813	0.9499	24478	25121
pident_ge_qcov70	40	0.9229	0.9800	0.9506	24384	25121
pident_ge_qcov70	50	0.9263	0.9744	0.9497	24157	25121
pident_ge_qcov70	60	0.9323	0.9546	0.9433	23513	25121
pident_ge_qcov70	70	0.9413	0.9082	0.9244	22154	25121
pident_ge_qcov70	80	0.9518	0.8032	0.8712	19379	25121
pident_ge_qcov70	90	0.9655	0.4905	0.6505	11665	25121
pident_ge_qcov70	100	0.9528	0.0105	0.0208	254	25121
