filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.9141	1.0000	0.9551	25121	25121
has_any_hit	0	0.9254	0.9705	0.9474	24083	25121
pident_ge	0	0.9254	0.9705	0.9474	24083	25121
pident_ge	5	0.9254	0.9705	0.9474	24083	25121
pident_ge	10	0.9254	0.9705	0.9474	24083	25121
pident_ge	15	0.9254	0.9705	0.9474	24083	25121
pident_ge	20	0.9254	0.9705	0.9474	24083	25121
pident_ge	25	0.9259	0.9683	0.9467	24015	25121
pident_ge	30	0.9299	0.9544	0.9420	23569	25121
pident_ge	35	0.9347	0.9249	0.9298	22722	25121
pident_ge	40	0.9397	0.8889	0.9136	21721	25121
pident_ge	45	0.9442	0.8368	0.8873	20350	25121
pident_ge	50	0.9477	0.7688	0.8489	18629	25121
pident_ge	55	0.9519	0.6842	0.7961	16505	25121
pident_ge	60	0.9556	0.5852	0.7258	14062	25121
pident_ge	65	0.9598	0.4744	0.6349	11349	25121
pident_ge	70	0.9616	0.3578	0.5215	8544	25121
pident_ge	75	0.9625	0.2440	0.3893	5821	25121
pident_ge	80	0.9580	0.1452	0.2522	3480	25121
pident_ge	85	0.9504	0.0752	0.1393	1816	25121
pident_ge	90	0.9301	0.0324	0.0627	801	25121
pident_ge	95	0.8927	0.0112	0.0222	289	25121
pident_ge	100	0.9434	0.0022	0.0043	53	25121
qcov_ge	0	0.9254	0.9705	0.9474	24083	25121
qcov_ge	5	0.9254	0.9705	0.9474	24082	25121
qcov_ge	10	0.9253	0.9700	0.9472	24072	25121
qcov_ge	15	0.9255	0.9692	0.9469	24047	25121
qcov_ge	20	0.9255	0.9679	0.9462	24014	25121
qcov_ge	25	0.9257	0.9659	0.9454	23961	25121
qcov_ge	30	0.9259	0.9631	0.9441	23886	25121
qcov_ge	35	0.9261	0.9592	0.9423	23783	25121
qcov_ge	40	0.9265	0.9537	0.9399	23637	25121
qcov_ge	45	0.9269	0.9483	0.9375	23493	25121
qcov_ge	50	0.9278	0.9417	0.9347	23308	25121
qcov_ge	55	0.9286	0.9347	0.9316	23114	25121
qcov_ge	60	0.9298	0.9249	0.9273	22843	25121
qcov_ge	65	0.9308	0.9148	0.9228	22568	25121
qcov_ge	70	0.9320	0.9018	0.9167	22220	25121
qcov_ge	75	0.9339	0.8845	0.9085	21748	25121
qcov_ge	80	0.9361	0.8613	0.8971	21126	25121
qcov_ge	85	0.9385	0.8207	0.8757	20080	25121
qcov_ge	90	0.9424	0.7577	0.8400	18463	25121
qcov_ge	95	0.9499	0.6328	0.7596	15296	25121
qcov_ge	100	0.9689	0.1964	0.3266	4655	25121
bitscore_ge	0	0.9254	0.9705	0.9474	24083	25121
bitscore_ge	25	0.9254	0.9705	0.9474	24083	25121
bitscore_ge	50	0.9256	0.9697	0.9471	24057	25121
bitscore_ge	75	0.9320	0.9430	0.9375	23232	25121
bitscore_ge	100	0.9377	0.9111	0.9242	22312	25121
bitscore_ge	150	0.9449	0.8435	0.8913	20500	25121
bitscore_ge	200	0.9494	0.7645	0.8470	18492	25121
bitscore_ge	250	0.9517	0.6886	0.7990	16615	25121
bitscore_ge	300	0.9540	0.6211	0.7524	14950	25121
bitscore_ge	400	0.9585	0.4982	0.6557	11936	25121
bitscore_ge	500	0.9604	0.3905	0.5552	9336	25121
evalue_le_1e	-10	0.9297	0.9561	0.9427	23613	25121
evalue_le_1e	-5	0.9254	0.9705	0.9474	24083	25121
evalue_le_1e	-3	0.9254	0.9705	0.9474	24083	25121
evalue_le_1e	-2	0.9254	0.9705	0.9474	24083	25121
evalue_le_1e	-1	0.9254	0.9705	0.9474	24083	25121
evalue_le_1e	0	0.9254	0.9705	0.9474	24083	25121
pident_ge_qcov50	0	0.9278	0.9417	0.9347	23308	25121
pident_ge_qcov50	10	0.9278	0.9417	0.9347	23308	25121
pident_ge_qcov50	20	0.9278	0.9417	0.9347	23308	25121
pident_ge_qcov50	30	0.9320	0.9261	0.9291	22817	25121
pident_ge_qcov50	40	0.9414	0.8643	0.9012	21083	25121
pident_ge_qcov50	50	0.9490	0.7528	0.8396	18216	25121
pident_ge_qcov50	60	0.9567	0.5767	0.7196	13842	25121
pident_ge_qcov50	70	0.9624	0.3532	0.5168	8428	25121
pident_ge_qcov50	80	0.9584	0.1436	0.2497	3440	25121
pident_ge_qcov50	90	0.9310	0.0323	0.0625	797	25121
pident_ge_qcov50	100	0.9434	0.0022	0.0043	53	25121
pident_ge_qcov70	0	0.9320	0.9018	0.9167	22220	25121
pident_ge_qcov70	10	0.9320	0.9018	0.9167	22220	25121
pident_ge_qcov70	20	0.9320	0.9018	0.9167	22220	25121
pident_ge_qcov70	30	0.9356	0.8882	0.9113	21800	25121
pident_ge_qcov70	40	0.9442	0.8329	0.8851	20256	25121
pident_ge_qcov70	50	0.9511	0.7305	0.8263	17637	25121
pident_ge_qcov70	60	0.9584	0.5636	0.7098	13505	25121
pident_ge_qcov70	70	0.9633	0.3462	0.5093	8252	25121
pident_ge_qcov70	80	0.9590	0.1414	0.2465	3387	25121
pident_ge_qcov70	90	0.9320	0.0322	0.0623	794	25121
pident_ge_qcov70	100	0.9434	0.0022	0.0043	53	25121
