filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.9141	1.0000	0.9551	25121	25121
has_any_hit	0	0.9449	0.7790	0.8539	18932	25121
pident_ge	0	0.9449	0.7790	0.8539	18932	25121
pident_ge	5	0.9449	0.7790	0.8539	18932	25121
pident_ge	10	0.9449	0.7790	0.8539	18932	25121
pident_ge	15	0.9449	0.7790	0.8539	18932	25121
pident_ge	20	0.9449	0.7788	0.8539	18927	25121
pident_ge	25	0.9456	0.7645	0.8455	18566	25121
pident_ge	30	0.9494	0.6983	0.8047	16891	25121
pident_ge	35	0.9525	0.6064	0.7410	14620	25121
pident_ge	40	0.9568	0.5088	0.6643	12212	25121
pident_ge	45	0.9601	0.4034	0.5681	9649	25121
pident_ge	50	0.9616	0.3115	0.4706	7439	25121
pident_ge	55	0.9630	0.2326	0.3747	5546	25121
pident_ge	60	0.9626	0.1669	0.2844	3981	25121
pident_ge	65	0.9622	0.1142	0.2042	2726	25121
pident_ge	70	0.9596	0.0744	0.1381	1781	25121
pident_ge	75	0.9586	0.0454	0.0867	1087	25121
pident_ge	80	0.9530	0.0247	0.0482	596	25121
pident_ge	85	0.9668	0.0127	0.0250	301	25121
pident_ge	90	0.9690	0.0054	0.0108	129	25121
pident_ge	95	0.9778	0.0019	0.0038	45	25121
pident_ge	100	0.8571	0.0003	0.0005	7	25121
qcov_ge	0	0.9449	0.7790	0.8539	18932	25121
qcov_ge	5	0.9448	0.7789	0.8539	18930	25121
qcov_ge	10	0.9448	0.7773	0.8529	18890	25121
qcov_ge	15	0.9451	0.7704	0.8488	18718	25121
qcov_ge	20	0.9451	0.7565	0.8403	18380	25121
qcov_ge	25	0.9450	0.7396	0.8298	17972	25121
qcov_ge	30	0.9452	0.7189	0.8167	17465	25121
qcov_ge	35	0.9452	0.6970	0.8024	16934	25121
qcov_ge	40	0.9452	0.6724	0.7858	16335	25121
qcov_ge	45	0.9456	0.6452	0.7670	15668	25121
qcov_ge	50	0.9455	0.6217	0.7502	15100	25121
qcov_ge	55	0.9457	0.5968	0.7318	14492	25121
qcov_ge	60	0.9460	0.5732	0.7139	13915	25121
qcov_ge	65	0.9461	0.5427	0.6897	13172	25121
qcov_ge	70	0.9466	0.5110	0.6637	12396	25121
qcov_ge	75	0.9461	0.4712	0.6291	11437	25121
qcov_ge	80	0.9476	0.4176	0.5798	10120	25121
qcov_ge	85	0.9491	0.3481	0.5094	8422	25121
qcov_ge	90	0.9482	0.2605	0.4087	6308	25121
qcov_ge	95	0.9551	0.1556	0.2675	3740	25121
qcov_ge	100	0.9747	0.0218	0.0427	514	25121
bitscore_ge	0	0.9449	0.7790	0.8539	18932	25121
bitscore_ge	25	0.9449	0.7790	0.8539	18932	25121
bitscore_ge	50	0.9455	0.7767	0.8528	18863	25121
bitscore_ge	75	0.9503	0.7085	0.8118	17121	25121
bitscore_ge	100	0.9523	0.6430	0.7677	15504	25121
bitscore_ge	150	0.9568	0.5283	0.6808	12680	25121
bitscore_ge	200	0.9605	0.4252	0.5894	10165	25121
bitscore_ge	250	0.9651	0.3421	0.5051	8139	25121
bitscore_ge	300	0.9675	0.2778	0.4316	6592	25121
bitscore_ge	400	0.9696	0.1778	0.3004	4210	25121
bitscore_ge	500	0.9730	0.1177	0.2100	2778	25121
evalue_le_1e	-10	0.9489	0.7368	0.8295	17831	25121
evalue_le_1e	-5	0.9449	0.7790	0.8539	18932	25121
evalue_le_1e	-3	0.9449	0.7790	0.8539	18932	25121
evalue_le_1e	-2	0.9449	0.7790	0.8539	18932	25121
evalue_le_1e	-1	0.9449	0.7790	0.8539	18932	25121
evalue_le_1e	0	0.9449	0.7790	0.8539	18932	25121
pident_ge_qcov50	0	0.9455	0.6217	0.7502	15100	25121
pident_ge_qcov50	10	0.9455	0.6217	0.7502	15100	25121
pident_ge_qcov50	20	0.9456	0.6217	0.7502	15098	25121
pident_ge_qcov50	30	0.9498	0.5603	0.7048	13547	25121
pident_ge_qcov50	40	0.9577	0.4117	0.5759	9873	25121
pident_ge_qcov50	50	0.9617	0.2558	0.4041	6107	25121
pident_ge_qcov50	60	0.9612	0.1381	0.2415	3299	25121
pident_ge_qcov50	70	0.9586	0.0655	0.1226	1569	25121
pident_ge_qcov50	80	0.9529	0.0229	0.0447	552	25121
pident_ge_qcov50	90	0.9688	0.0054	0.0107	128	25121
pident_ge_qcov50	100	0.8571	0.0003	0.0005	7	25121
pident_ge_qcov70	0	0.9466	0.5110	0.6637	12396	25121
pident_ge_qcov70	10	0.9466	0.5110	0.6637	12396	25121
pident_ge_qcov70	20	0.9466	0.5110	0.6637	12396	25121
pident_ge_qcov70	30	0.9506	0.4634	0.6231	11195	25121
pident_ge_qcov70	40	0.9583	0.3472	0.5097	8320	25121
pident_ge_qcov70	50	0.9615	0.2199	0.3579	5251	25121
pident_ge_qcov70	60	0.9627	0.1235	0.2190	2947	25121
pident_ge_qcov70	70	0.9604	0.0613	0.1152	1465	25121
pident_ge_qcov70	80	0.9549	0.0221	0.0432	532	25121
pident_ge_qcov70	90	0.9688	0.0054	0.0107	128	25121
pident_ge_qcov70	100	0.8571	0.0003	0.0005	7	25121
