filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7829	1.0000	0.8782	15947	15947
has_any_hit	0	0.8120	0.9671	0.8828	14869	15947
pident_ge	0	0.8120	0.9671	0.8828	14869	15947
pident_ge	5	0.8120	0.9671	0.8828	14869	15947
pident_ge	10	0.8120	0.9671	0.8828	14869	15947
pident_ge	15	0.8120	0.9671	0.8828	14869	15947
pident_ge	20	0.8120	0.9671	0.8828	14869	15947
pident_ge	25	0.8122	0.9660	0.8824	14849	15947
pident_ge	30	0.8134	0.9593	0.8803	14725	15947
pident_ge	35	0.8154	0.9434	0.8747	14445	15947
pident_ge	40	0.8206	0.9169	0.8660	13950	15947
pident_ge	45	0.8267	0.8839	0.8543	13349	15947
pident_ge	50	0.8333	0.8413	0.8373	12605	15947
pident_ge	55	0.8440	0.7869	0.8144	11640	15947
pident_ge	60	0.8501	0.7238	0.7819	10631	15947
pident_ge	65	0.8630	0.6433	0.7372	9307	15947
pident_ge	70	0.8709	0.5457	0.6710	7823	15947
pident_ge	75	0.8692	0.4397	0.5840	6316	15947
pident_ge	80	0.8579	0.3317	0.4784	4827	15947
pident_ge	85	0.8311	0.2250	0.3541	3380	15947
pident_ge	90	0.7857	0.1322	0.2263	2100	15947
pident_ge	95	0.7039	0.0615	0.1131	1091	15947
pident_ge	100	0.7717	0.0135	0.0266	219	15947
qcov_ge	0	0.8120	0.9671	0.8828	14869	15947
qcov_ge	5	0.8120	0.9670	0.8828	14868	15947
qcov_ge	10	0.8120	0.9664	0.8825	14858	15947
qcov_ge	15	0.8120	0.9652	0.8820	14841	15947
qcov_ge	20	0.8122	0.9635	0.8814	14810	15947
qcov_ge	25	0.8129	0.9611	0.8808	14760	15947
qcov_ge	30	0.8134	0.9579	0.8798	14703	15947
qcov_ge	35	0.8144	0.9545	0.8789	14633	15947
qcov_ge	40	0.8174	0.9504	0.8789	14517	15947
qcov_ge	45	0.8188	0.9463	0.8780	14429	15947
qcov_ge	50	0.8213	0.9423	0.8776	14323	15947
qcov_ge	55	0.8251	0.9349	0.8765	14147	15947
qcov_ge	60	0.8281	0.9277	0.8751	13986	15947
qcov_ge	65	0.8317	0.9193	0.8733	13800	15947
qcov_ge	70	0.8363	0.9062	0.8699	13528	15947
qcov_ge	75	0.8430	0.8917	0.8667	13206	15947
qcov_ge	80	0.8491	0.8715	0.8602	12814	15947
qcov_ge	85	0.8575	0.8403	0.8488	12235	15947
qcov_ge	90	0.8702	0.7874	0.8267	11298	15947
qcov_ge	95	0.8903	0.6855	0.7746	9614	15947
qcov_ge	100	0.9280	0.3365	0.4939	4527	15947
bitscore_ge	0	0.8120	0.9671	0.8828	14869	15947
bitscore_ge	25	0.8120	0.9671	0.8828	14869	15947
bitscore_ge	50	0.8120	0.9668	0.8827	14864	15947
bitscore_ge	75	0.8220	0.9498	0.8813	14426	15947
bitscore_ge	100	0.8346	0.9300	0.8797	13912	15947
bitscore_ge	150	0.8524	0.8738	0.8630	12798	15947
bitscore_ge	200	0.8732	0.8127	0.8419	11619	15947
bitscore_ge	250	0.8895	0.7525	0.8153	10562	15947
bitscore_ge	300	0.8975	0.6942	0.7829	9657	15947
bitscore_ge	400	0.9138	0.5857	0.7138	8002	15947
bitscore_ge	500	0.9224	0.4912	0.6411	6649	15947
evalue_le_1e	-10	0.8165	0.9574	0.8814	14639	15947
evalue_le_1e	-5	0.8120	0.9671	0.8828	14869	15947
evalue_le_1e	-3	0.8120	0.9671	0.8828	14869	15947
evalue_le_1e	-2	0.8120	0.9671	0.8828	14869	15947
evalue_le_1e	-1	0.8120	0.9671	0.8828	14869	15947
evalue_le_1e	0	0.8120	0.9671	0.8828	14869	15947
pident_ge_qcov50	0	0.8213	0.9423	0.8776	14323	15947
pident_ge_qcov50	10	0.8213	0.9423	0.8776	14323	15947
pident_ge_qcov50	20	0.8213	0.9423	0.8776	14323	15947
pident_ge_qcov50	30	0.8225	0.9354	0.8753	14199	15947
pident_ge_qcov50	40	0.8286	0.8969	0.8614	13515	15947
pident_ge_qcov50	50	0.8404	0.8257	0.8330	12267	15947
pident_ge_qcov50	60	0.8583	0.7134	0.7792	10377	15947
pident_ge_qcov50	70	0.8799	0.5389	0.6684	7646	15947
pident_ge_qcov50	80	0.8712	0.3274	0.4759	4691	15947
pident_ge_qcov50	90	0.8088	0.1301	0.2241	2008	15947
pident_ge_qcov50	100	0.8350	0.0134	0.0263	200	15947
pident_ge_qcov70	0	0.8363	0.9062	0.8699	13528	15947
pident_ge_qcov70	10	0.8363	0.9062	0.8699	13528	15947
pident_ge_qcov70	20	0.8363	0.9062	0.8699	13528	15947
pident_ge_qcov70	30	0.8373	0.9001	0.8676	13421	15947
pident_ge_qcov70	40	0.8436	0.8672	0.8552	12835	15947
pident_ge_qcov70	50	0.8539	0.8014	0.8268	11717	15947
pident_ge_qcov70	60	0.8706	0.6964	0.7739	9987	15947
pident_ge_qcov70	70	0.8922	0.5271	0.6627	7376	15947
pident_ge_qcov70	80	0.8864	0.3205	0.4708	4515	15947
pident_ge_qcov70	90	0.8277	0.1270	0.2201	1915	15947
pident_ge_qcov70	100	0.8513	0.0133	0.0262	195	15947
