filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7829	1.0000	0.8782	15947	15947
has_any_hit	0	0.8131	0.8958	0.8524	13755	15947
pident_ge	0	0.8131	0.8958	0.8524	13755	15947
pident_ge	5	0.8131	0.8958	0.8524	13755	15947
pident_ge	10	0.8131	0.8958	0.8524	13755	15947
pident_ge	15	0.8131	0.8958	0.8524	13755	15947
pident_ge	20	0.8131	0.8957	0.8524	13754	15947
pident_ge	25	0.8123	0.8871	0.8481	13635	15947
pident_ge	30	0.8122	0.8557	0.8334	13155	15947
pident_ge	35	0.8147	0.8080	0.8114	12382	15947
pident_ge	40	0.8203	0.7471	0.7820	11372	15947
pident_ge	45	0.8254	0.6730	0.7415	10180	15947
pident_ge	50	0.8297	0.5937	0.6921	8933	15947
pident_ge	55	0.8325	0.5056	0.6291	7582	15947
pident_ge	60	0.8342	0.4223	0.5608	6321	15947
pident_ge	65	0.8269	0.3345	0.4763	5050	15947
pident_ge	70	0.8149	0.2539	0.3872	3890	15947
pident_ge	75	0.7832	0.1820	0.2953	2901	15947
pident_ge	80	0.7362	0.1252	0.2140	2123	15947
pident_ge	85	0.6656	0.0799	0.1426	1498	15947
pident_ge	90	0.5696	0.0453	0.0838	992	15947
pident_ge	95	0.4733	0.0234	0.0446	617	15947
pident_ge	100	0.6871	0.0090	0.0177	163	15947
qcov_ge	0	0.8131	0.8958	0.8524	13755	15947
qcov_ge	5	0.8130	0.8956	0.8523	13752	15947
qcov_ge	10	0.8128	0.8934	0.8512	13723	15947
qcov_ge	15	0.8123	0.8888	0.8488	13662	15947
qcov_ge	20	0.8119	0.8832	0.8461	13581	15947
qcov_ge	25	0.8124	0.8762	0.8431	13465	15947
qcov_ge	30	0.8129	0.8682	0.8397	13335	15947
qcov_ge	35	0.8134	0.8598	0.8360	13197	15947
qcov_ge	40	0.8162	0.8497	0.8326	12998	15947
qcov_ge	45	0.8174	0.8375	0.8273	12792	15947
qcov_ge	50	0.8196	0.8230	0.8213	12537	15947
qcov_ge	55	0.8227	0.8053	0.8139	12221	15947
qcov_ge	60	0.8244	0.7870	0.8053	11919	15947
qcov_ge	65	0.8265	0.7648	0.7945	11554	15947
qcov_ge	70	0.8286	0.7374	0.7804	11112	15947
qcov_ge	75	0.8336	0.7020	0.7621	10514	15947
qcov_ge	80	0.8387	0.6626	0.7403	9864	15947
qcov_ge	85	0.8450	0.6087	0.7076	8993	15947
qcov_ge	90	0.8510	0.5253	0.6496	7706	15947
qcov_ge	95	0.8689	0.3960	0.5440	5690	15947
qcov_ge	100	0.8816	0.1252	0.2192	1773	15947
bitscore_ge	0	0.8131	0.8958	0.8524	13755	15947
bitscore_ge	25	0.8131	0.8958	0.8524	13755	15947
bitscore_ge	50	0.8133	0.8952	0.8523	13742	15947
bitscore_ge	75	0.8259	0.8539	0.8396	12909	15947
bitscore_ge	100	0.8357	0.8140	0.8247	12161	15947
bitscore_ge	150	0.8544	0.7401	0.7932	10814	15947
bitscore_ge	200	0.8754	0.6708	0.7596	9567	15947
bitscore_ge	250	0.8876	0.5965	0.7135	8390	15947
bitscore_ge	300	0.8978	0.5303	0.6668	7375	15947
bitscore_ge	400	0.9100	0.4116	0.5668	5647	15947
bitscore_ge	500	0.9146	0.3189	0.4729	4354	15947
evalue_le_1e	-10	0.8200	0.8685	0.8436	13223	15947
evalue_le_1e	-5	0.8131	0.8958	0.8524	13755	15947
evalue_le_1e	-3	0.8131	0.8958	0.8524	13755	15947
evalue_le_1e	-2	0.8131	0.8958	0.8524	13755	15947
evalue_le_1e	-1	0.8131	0.8958	0.8524	13755	15947
evalue_le_1e	0	0.8131	0.8958	0.8524	13755	15947
pident_ge_qcov50	0	0.8196	0.8230	0.8213	12537	15947
pident_ge_qcov50	10	0.8196	0.8230	0.8213	12537	15947
pident_ge_qcov50	20	0.8196	0.8229	0.8212	12536	15947
pident_ge_qcov50	30	0.8193	0.7882	0.8034	12012	15947
pident_ge_qcov50	40	0.8274	0.6944	0.7551	10477	15947
pident_ge_qcov50	50	0.8392	0.5563	0.6690	8276	15947
pident_ge_qcov50	60	0.8488	0.3981	0.5420	5855	15947
pident_ge_qcov50	70	0.8353	0.2392	0.3720	3576	15947
pident_ge_qcov50	80	0.7681	0.1183	0.2050	1923	15947
pident_ge_qcov50	90	0.6104	0.0432	0.0806	883	15947
pident_ge_qcov50	100	0.7708	0.0089	0.0176	144	15947
pident_ge_qcov70	0	0.8286	0.7374	0.7804	11112	15947
pident_ge_qcov70	10	0.8286	0.7374	0.7804	11112	15947
pident_ge_qcov70	20	0.8285	0.7374	0.7803	11111	15947
pident_ge_qcov70	30	0.8291	0.7096	0.7647	10685	15947
pident_ge_qcov70	40	0.8379	0.6312	0.7200	9406	15947
pident_ge_qcov70	50	0.8519	0.5094	0.6376	7466	15947
pident_ge_qcov70	60	0.8626	0.3666	0.5145	5306	15947
pident_ge_qcov70	70	0.8508	0.2220	0.3522	3258	15947
pident_ge_qcov70	80	0.7930	0.1111	0.1949	1749	15947
pident_ge_qcov70	90	0.6409	0.0412	0.0774	802	15947
pident_ge_qcov70	100	0.7914	0.0088	0.0174	139	15947
