filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7829	1.0000	0.8782	15947	15947
has_any_hit	0	0.8337	0.8912	0.8615	13346	15947
pident_ge	0	0.8337	0.8912	0.8615	13346	15947
pident_ge	5	0.8337	0.8912	0.8615	13346	15947
pident_ge	10	0.8337	0.8912	0.8615	13346	15947
pident_ge	15	0.8337	0.8912	0.8615	13346	15947
pident_ge	20	0.8338	0.8911	0.8615	13343	15947
pident_ge	25	0.8343	0.8826	0.8577	13208	15947
pident_ge	30	0.8382	0.8520	0.8450	12690	15947
pident_ge	35	0.8523	0.8035	0.8272	11771	15947
pident_ge	40	0.8712	0.7429	0.8020	10646	15947
pident_ge	45	0.8906	0.6682	0.7635	9367	15947
pident_ge	50	0.9083	0.5901	0.7154	8111	15947
pident_ge	55	0.9222	0.5022	0.6503	6799	15947
pident_ge	60	0.9366	0.4202	0.5801	5601	15947
pident_ge	65	0.9434	0.3314	0.4905	4385	15947
pident_ge	70	0.9517	0.2508	0.3970	3290	15947
pident_ge	75	0.9530	0.1802	0.3031	2361	15947
pident_ge	80	0.9635	0.1227	0.2177	1590	15947
pident_ge	85	0.9680	0.0775	0.1434	999	15947
pident_ge	90	0.9719	0.0416	0.0797	534	15947
pident_ge	95	0.9736	0.0207	0.0405	265	15947
pident_ge	100	0.9600	0.0058	0.0115	75	15947
qcov_ge	0	0.8337	0.8912	0.8615	13346	15947
qcov_ge	5	0.8337	0.8909	0.8614	13341	15947
qcov_ge	10	0.8336	0.8891	0.8605	13317	15947
qcov_ge	15	0.8328	0.8835	0.8574	13244	15947
qcov_ge	20	0.8324	0.8771	0.8542	13156	15947
qcov_ge	25	0.8324	0.8710	0.8513	13064	15947
qcov_ge	30	0.8327	0.8625	0.8473	12931	15947
qcov_ge	35	0.8330	0.8536	0.8432	12793	15947
qcov_ge	40	0.8338	0.8433	0.8385	12626	15947
qcov_ge	45	0.8356	0.8305	0.8331	12409	15947
qcov_ge	50	0.8404	0.8154	0.8277	12114	15947
qcov_ge	55	0.8417	0.7974	0.8190	11829	15947
qcov_ge	60	0.8450	0.7768	0.8094	11477	15947
qcov_ge	65	0.8482	0.7534	0.7980	11089	15947
qcov_ge	70	0.8526	0.7245	0.7833	10609	15947
qcov_ge	75	0.8567	0.6888	0.7637	10038	15947
qcov_ge	80	0.8619	0.6481	0.7399	9389	15947
qcov_ge	85	0.8712	0.5940	0.7064	8512	15947
qcov_ge	90	0.8813	0.5119	0.6476	7252	15947
qcov_ge	95	0.9021	0.3860	0.5406	5342	15947
qcov_ge	100	0.9339	0.1200	0.2126	1604	15947
bitscore_ge	0	0.8337	0.8912	0.8615	13346	15947
bitscore_ge	25	0.8337	0.8912	0.8615	13346	15947
bitscore_ge	50	0.8349	0.8893	0.8613	13298	15947
bitscore_ge	75	0.8547	0.8462	0.8504	12361	15947
bitscore_ge	100	0.8697	0.8087	0.8381	11609	15947
bitscore_ge	150	0.8990	0.7331	0.8076	10181	15947
bitscore_ge	200	0.9172	0.6635	0.7700	9032	15947
bitscore_ge	250	0.9251	0.5894	0.7201	7955	15947
bitscore_ge	300	0.9301	0.5245	0.6708	7041	15947
bitscore_ge	400	0.9366	0.4091	0.5695	5454	15947
bitscore_ge	500	0.9379	0.3171	0.4740	4221	15947
evalue_le_1e	-10	0.8446	0.8634	0.8538	12763	15947
evalue_le_1e	-5	0.8337	0.8912	0.8615	13346	15947
evalue_le_1e	-3	0.8337	0.8912	0.8615	13346	15947
evalue_le_1e	-2	0.8337	0.8912	0.8615	13346	15947
evalue_le_1e	-1	0.8337	0.8912	0.8615	13346	15947
evalue_le_1e	0	0.8337	0.8912	0.8615	13346	15947
pident_ge_qcov50	0	0.8404	0.8154	0.8277	12114	15947
pident_ge_qcov50	10	0.8404	0.8154	0.8277	12114	15947
pident_ge_qcov50	20	0.8404	0.8152	0.8276	12111	15947
pident_ge_qcov50	30	0.8458	0.7812	0.8122	11531	15947
pident_ge_qcov50	40	0.8758	0.6875	0.7703	9801	15947
pident_ge_qcov50	50	0.9103	0.5508	0.6863	7555	15947
pident_ge_qcov50	60	0.9394	0.3939	0.5551	5235	15947
pident_ge_qcov50	70	0.9565	0.2340	0.3761	3055	15947
pident_ge_qcov50	80	0.9703	0.1149	0.2055	1479	15947
pident_ge_qcov50	90	0.9743	0.0394	0.0758	505	15947
pident_ge_qcov50	100	0.9726	0.0057	0.0113	73	15947
pident_ge_qcov70	0	0.8526	0.7245	0.7833	10609	15947
pident_ge_qcov70	10	0.8526	0.7245	0.7833	10609	15947
pident_ge_qcov70	20	0.8526	0.7243	0.7832	10606	15947
pident_ge_qcov70	30	0.8582	0.6972	0.7693	10142	15947
pident_ge_qcov70	40	0.8833	0.6197	0.7284	8759	15947
pident_ge_qcov70	50	0.9155	0.4990	0.6459	6805	15947
pident_ge_qcov70	60	0.9434	0.3604	0.5215	4769	15947
pident_ge_qcov70	70	0.9591	0.2162	0.3528	2814	15947
pident_ge_qcov70	80	0.9732	0.1075	0.1936	1379	15947
pident_ge_qcov70	90	0.9769	0.0373	0.0719	477	15947
pident_ge_qcov70	100	0.9722	0.0056	0.0111	72	15947
