filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7898	1.0000	0.8826	22455	22455
has_any_hit	0	0.7959	0.9970	0.8851	22219	22455
pident_ge	0	0.7959	0.9970	0.8851	22219	22455
pident_ge	5	0.7959	0.9970	0.8851	22219	22455
pident_ge	10	0.7959	0.9970	0.8851	22219	22455
pident_ge	15	0.7959	0.9970	0.8851	22219	22455
pident_ge	20	0.7959	0.9970	0.8851	22219	22455
pident_ge	25	0.7959	0.9970	0.8851	22219	22455
pident_ge	30	0.7959	0.9970	0.8851	22219	22455
pident_ge	35	0.7961	0.9970	0.8853	22213	22455
pident_ge	40	0.7962	0.9970	0.8854	22207	22455
pident_ge	45	0.7968	0.9967	0.8856	22186	22455
pident_ge	50	0.7974	0.9966	0.8859	22168	22455
pident_ge	55	0.7990	0.9961	0.8867	22110	22455
pident_ge	60	0.8009	0.9955	0.8876	22046	22455
pident_ge	65	0.8041	0.9945	0.8893	21935	22455
pident_ge	70	0.8084	0.9932	0.8914	21790	22455
pident_ge	75	0.8145	0.9912	0.8942	21583	22455
pident_ge	80	0.8249	0.9869	0.8986	21218	22455
pident_ge	85	0.8390	0.9787	0.9035	20690	22455
pident_ge	90	0.8606	0.9591	0.9072	19766	22455
pident_ge	95	0.8998	0.9022	0.9010	17782	22455
pident_ge	100	0.9533	0.2450	0.3899	4559	22455
qcov_ge	0	0.7959	0.9970	0.8851	22219	22455
qcov_ge	5	0.7959	0.9970	0.8851	22219	22455
qcov_ge	10	0.7960	0.9968	0.8852	22212	22455
qcov_ge	15	0.7964	0.9962	0.8852	22184	22455
qcov_ge	20	0.7967	0.9952	0.8850	22154	22455
qcov_ge	25	0.7972	0.9936	0.8846	22106	22455
qcov_ge	30	0.7977	0.9906	0.8837	22025	22455
qcov_ge	35	0.7978	0.9862	0.8821	21923	22455
qcov_ge	40	0.7982	0.9822	0.8807	21823	22455
qcov_ge	45	0.7985	0.9788	0.8795	21742	22455
qcov_ge	50	0.7989	0.9768	0.8789	21686	22455
qcov_ge	55	0.7996	0.9748	0.8785	21623	22455
qcov_ge	60	0.8003	0.9729	0.8782	21560	22455
qcov_ge	65	0.8015	0.9708	0.8780	21483	22455
qcov_ge	70	0.8027	0.9690	0.8781	21412	22455
qcov_ge	75	0.8043	0.9663	0.8779	21307	22455
qcov_ge	80	0.8068	0.9641	0.8785	21193	22455
qcov_ge	85	0.8106	0.9600	0.8790	21005	22455
qcov_ge	90	0.8159	0.9548	0.8799	20756	22455
qcov_ge	95	0.8261	0.9446	0.8814	20282	22455
qcov_ge	100	0.8811	0.8625	0.8717	17362	22455
bitscore_ge	0	0.7959	0.9970	0.8851	22219	22455
bitscore_ge	25	0.7959	0.9970	0.8851	22219	22455
bitscore_ge	50	0.7958	0.9969	0.8851	22217	22455
bitscore_ge	75	0.7990	0.9950	0.8863	22087	22455
bitscore_ge	100	0.8027	0.9936	0.8880	21955	22455
bitscore_ge	150	0.8182	0.9803	0.8920	21250	22455
bitscore_ge	200	0.8350	0.9556	0.8912	20296	22455
bitscore_ge	250	0.8516	0.9247	0.8867	19259	22455
bitscore_ge	300	0.8631	0.8935	0.8781	18361	22455
bitscore_ge	400	0.8799	0.8126	0.8449	16380	22455
bitscore_ge	500	0.8900	0.7290	0.8015	14528	22455
evalue_le_1e	-10	0.7979	0.9957	0.8859	22132	22455
evalue_le_1e	-5	0.7959	0.9970	0.8851	22219	22455
evalue_le_1e	-3	0.7959	0.9970	0.8851	22219	22455
evalue_le_1e	-2	0.7959	0.9970	0.8851	22219	22455
evalue_le_1e	-1	0.7959	0.9970	0.8851	22219	22455
evalue_le_1e	0	0.7959	0.9970	0.8851	22219	22455
pident_ge_qcov50	0	0.7989	0.9768	0.8789	21686	22455
pident_ge_qcov50	10	0.7989	0.9768	0.8789	21686	22455
pident_ge_qcov50	20	0.7989	0.9768	0.8789	21686	22455
pident_ge_qcov50	30	0.7989	0.9768	0.8789	21686	22455
pident_ge_qcov50	40	0.7993	0.9767	0.8791	21674	22455
pident_ge_qcov50	50	0.8004	0.9764	0.8797	21636	22455
pident_ge_qcov50	60	0.8036	0.9752	0.8812	21524	22455
pident_ge_qcov50	70	0.8108	0.9730	0.8845	21286	22455
pident_ge_qcov50	80	0.8268	0.9676	0.8917	20755	22455
pident_ge_qcov50	90	0.8622	0.9410	0.8999	19356	22455
pident_ge_qcov50	100	0.9545	0.2414	0.3854	4486	22455
pident_ge_qcov70	0	0.8027	0.9690	0.8781	21412	22455
pident_ge_qcov70	10	0.8027	0.9690	0.8781	21412	22455
pident_ge_qcov70	20	0.8027	0.9690	0.8781	21412	22455
pident_ge_qcov70	30	0.8027	0.9690	0.8781	21412	22455
pident_ge_qcov70	40	0.8030	0.9690	0.8782	21402	22455
pident_ge_qcov70	50	0.8041	0.9687	0.8787	21366	22455
pident_ge_qcov70	60	0.8071	0.9675	0.8801	21261	22455
pident_ge_qcov70	70	0.8138	0.9654	0.8832	21040	22455
pident_ge_qcov70	80	0.8291	0.9603	0.8899	20543	22455
pident_ge_qcov70	90	0.8633	0.9344	0.8974	19197	22455
pident_ge_qcov70	100	0.9545	0.2402	0.3838	4463	22455
