filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7898	1.0000	0.8826	22455	22455
has_any_hit	0	0.7985	0.9934	0.8854	22064	22455
pident_ge	0	0.7985	0.9934	0.8854	22064	22455
pident_ge	5	0.7985	0.9934	0.8854	22064	22455
pident_ge	10	0.7985	0.9934	0.8854	22064	22455
pident_ge	15	0.7985	0.9934	0.8854	22064	22455
pident_ge	20	0.7985	0.9934	0.8854	22064	22455
pident_ge	25	0.7985	0.9934	0.8854	22064	22455
pident_ge	30	0.7985	0.9932	0.8853	22061	22455
pident_ge	35	0.7992	0.9926	0.8854	22028	22455
pident_ge	40	0.7997	0.9905	0.8849	21966	22455
pident_ge	45	0.8024	0.9840	0.8840	21751	22455
pident_ge	50	0.8055	0.9789	0.8838	21555	22455
pident_ge	55	0.8091	0.9696	0.8821	21252	22455
pident_ge	60	0.8129	0.9586	0.8798	20915	22455
pident_ge	65	0.8185	0.9421	0.8760	20413	22455
pident_ge	70	0.8260	0.9168	0.8690	19687	22455
pident_ge	75	0.8357	0.8771	0.8559	18615	22455
pident_ge	80	0.8513	0.8167	0.8336	17016	22455
pident_ge	85	0.8706	0.7174	0.7866	14615	22455
pident_ge	90	0.8910	0.5573	0.6857	11093	22455
pident_ge	95	0.9142	0.3318	0.4869	6437	22455
pident_ge	100	0.9536	0.0544	0.1029	1012	22455
qcov_ge	0	0.7985	0.9934	0.8854	22064	22455
qcov_ge	5	0.7985	0.9934	0.8854	22064	22455
qcov_ge	10	0.7987	0.9931	0.8853	22053	22455
qcov_ge	15	0.7989	0.9919	0.8850	22020	22455
qcov_ge	20	0.7991	0.9905	0.8846	21983	22455
qcov_ge	25	0.7995	0.9877	0.8837	21909	22455
qcov_ge	30	0.8000	0.9838	0.8825	21810	22455
qcov_ge	35	0.8001	0.9790	0.8806	21700	22455
qcov_ge	40	0.8005	0.9746	0.8790	21595	22455
qcov_ge	45	0.8006	0.9712	0.8777	21516	22455
qcov_ge	50	0.8011	0.9693	0.8772	21459	22455
qcov_ge	55	0.8018	0.9667	0.8766	21383	22455
qcov_ge	60	0.8028	0.9647	0.8763	21313	22455
qcov_ge	65	0.8043	0.9622	0.8762	21217	22455
qcov_ge	70	0.8057	0.9596	0.8760	21124	22455
qcov_ge	75	0.8076	0.9553	0.8753	20980	22455
qcov_ge	80	0.8111	0.9524	0.8761	20827	22455
qcov_ge	85	0.8158	0.9476	0.8768	20600	22455
qcov_ge	90	0.8229	0.9392	0.8772	20243	22455
qcov_ge	95	0.8370	0.9207	0.8768	19509	22455
qcov_ge	100	0.8966	0.7223	0.8000	14287	22455
bitscore_ge	0	0.7985	0.9934	0.8854	22064	22455
bitscore_ge	25	0.7985	0.9934	0.8854	22064	22455
bitscore_ge	50	0.7986	0.9931	0.8853	22055	22455
bitscore_ge	75	0.8030	0.9888	0.8863	21841	22455
bitscore_ge	100	0.8094	0.9843	0.8883	21570	22455
bitscore_ge	150	0.8270	0.9614	0.8891	20618	22455
bitscore_ge	200	0.8462	0.9259	0.8843	19405	22455
bitscore_ge	250	0.8632	0.8890	0.8760	18266	22455
bitscore_ge	300	0.8732	0.8475	0.8602	17213	22455
bitscore_ge	400	0.8891	0.7585	0.8186	15131	22455
bitscore_ge	500	0.9009	0.6725	0.7701	13239	22455
evalue_le_1e	-10	0.8009	0.9897	0.8854	21916	22455
evalue_le_1e	-5	0.7985	0.9934	0.8854	22064	22455
evalue_le_1e	-3	0.7985	0.9934	0.8854	22064	22455
evalue_le_1e	-2	0.7985	0.9934	0.8854	22064	22455
evalue_le_1e	-1	0.7985	0.9934	0.8854	22064	22455
evalue_le_1e	0	0.7985	0.9934	0.8854	22064	22455
pident_ge_qcov50	0	0.8011	0.9693	0.8772	21459	22455
pident_ge_qcov50	10	0.8011	0.9693	0.8772	21459	22455
pident_ge_qcov50	20	0.8011	0.9693	0.8772	21459	22455
pident_ge_qcov50	30	0.8011	0.9691	0.8771	21456	22455
pident_ge_qcov50	40	0.8022	0.9665	0.8767	21368	22455
pident_ge_qcov50	50	0.8080	0.9578	0.8765	21023	22455
pident_ge_qcov50	60	0.8151	0.9425	0.8742	20510	22455
pident_ge_qcov50	70	0.8272	0.9046	0.8642	19396	22455
pident_ge_qcov50	80	0.8521	0.8102	0.8306	16864	22455
pident_ge_qcov50	90	0.8914	0.5542	0.6834	11027	22455
pident_ge_qcov50	100	0.9530	0.0538	0.1018	1001	22455
pident_ge_qcov70	0	0.8057	0.9596	0.8760	21124	22455
pident_ge_qcov70	10	0.8057	0.9596	0.8760	21124	22455
pident_ge_qcov70	20	0.8057	0.9596	0.8760	21124	22455
pident_ge_qcov70	30	0.8057	0.9595	0.8759	21121	22455
pident_ge_qcov70	40	0.8066	0.9571	0.8755	21046	22455
pident_ge_qcov70	50	0.8119	0.9493	0.8752	20737	22455
pident_ge_qcov70	60	0.8186	0.9349	0.8729	20255	22455
pident_ge_qcov70	70	0.8304	0.8984	0.8630	19189	22455
pident_ge_qcov70	80	0.8543	0.8060	0.8294	16733	22455
pident_ge_qcov70	90	0.8923	0.5519	0.6819	10970	22455
pident_ge_qcov70	100	0.9525	0.0532	0.1007	990	22455
