filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7898	1.0000	0.8826	22455	22455
has_any_hit	0	0.8003	0.9882	0.8844	21901	22455
pident_ge	0	0.8003	0.9882	0.8844	21901	22455
pident_ge	5	0.8003	0.9882	0.8844	21901	22455
pident_ge	10	0.8003	0.9882	0.8844	21901	22455
pident_ge	15	0.8003	0.9882	0.8844	21901	22455
pident_ge	20	0.8003	0.9882	0.8844	21901	22455
pident_ge	25	0.8003	0.9882	0.8844	21901	22455
pident_ge	30	0.8003	0.9878	0.8842	21891	22455
pident_ge	35	0.8012	0.9861	0.8841	21829	22455
pident_ge	40	0.8031	0.9815	0.8833	21676	22455
pident_ge	45	0.8063	0.9747	0.8825	21440	22455
pident_ge	50	0.8092	0.9628	0.8793	21102	22455
pident_ge	55	0.8133	0.9507	0.8767	20732	22455
pident_ge	60	0.8193	0.9343	0.8731	20225	22455
pident_ge	65	0.8254	0.9090	0.8652	19533	22455
pident_ge	70	0.8340	0.8757	0.8543	18623	22455
pident_ge	75	0.8441	0.8257	0.8348	17349	22455
pident_ge	80	0.8609	0.7515	0.8025	15483	22455
pident_ge	85	0.8774	0.6300	0.7334	12735	22455
pident_ge	90	0.8932	0.4618	0.6088	9169	22455
pident_ge	95	0.9126	0.2556	0.3994	4968	22455
pident_ge	100	0.9364	0.0365	0.0703	692	22455
qcov_ge	0	0.8003	0.9882	0.8844	21901	22455
qcov_ge	5	0.8003	0.9881	0.8843	21899	22455
qcov_ge	10	0.8006	0.9879	0.8844	21886	22455
qcov_ge	15	0.8009	0.9868	0.8841	21853	22455
qcov_ge	20	0.8010	0.9846	0.8834	21802	22455
qcov_ge	25	0.8016	0.9816	0.8825	21717	22455
qcov_ge	30	0.8019	0.9777	0.8811	21623	22455
qcov_ge	35	0.8021	0.9720	0.8789	21494	22455
qcov_ge	40	0.8026	0.9678	0.8775	21388	22455
qcov_ge	45	0.8028	0.9642	0.8761	21302	22455
qcov_ge	50	0.8043	0.9615	0.8759	21203	22455
qcov_ge	55	0.8052	0.9585	0.8752	21112	22455
qcov_ge	60	0.8065	0.9557	0.8747	21018	22455
qcov_ge	65	0.8090	0.9521	0.8747	20875	22455
qcov_ge	70	0.8111	0.9479	0.8742	20728	22455
qcov_ge	75	0.8137	0.9431	0.8737	20556	22455
qcov_ge	80	0.8173	0.9372	0.8732	20338	22455
qcov_ge	85	0.8240	0.9305	0.8741	20028	22455
qcov_ge	90	0.8324	0.9191	0.8736	19582	22455
qcov_ge	95	0.8473	0.8906	0.8684	18642	22455
qcov_ge	100	0.9075	0.6603	0.7644	12904	22455
bitscore_ge	0	0.8003	0.9882	0.8844	21901	22455
bitscore_ge	25	0.8003	0.9882	0.8844	21901	22455
bitscore_ge	50	0.8005	0.9880	0.8844	21889	22455
bitscore_ge	75	0.8068	0.9843	0.8868	21639	22455
bitscore_ge	100	0.8144	0.9772	0.8884	21280	22455
bitscore_ge	150	0.8323	0.9480	0.8864	20201	22455
bitscore_ge	200	0.8532	0.9106	0.8810	18929	22455
bitscore_ge	250	0.8678	0.8727	0.8703	17837	22455
bitscore_ge	300	0.8781	0.8294	0.8531	16753	22455
bitscore_ge	400	0.8928	0.7408	0.8097	14715	22455
bitscore_ge	500	0.9050	0.6500	0.7566	12739	22455
evalue_le_1e	-10	0.8039	0.9860	0.8857	21753	22455
evalue_le_1e	-5	0.8003	0.9882	0.8844	21901	22455
evalue_le_1e	-3	0.8003	0.9882	0.8844	21901	22455
evalue_le_1e	-2	0.8003	0.9882	0.8844	21901	22455
evalue_le_1e	-1	0.8003	0.9882	0.8844	21901	22455
evalue_le_1e	0	0.8003	0.9882	0.8844	21901	22455
pident_ge_qcov50	0	0.8043	0.9615	0.8759	21203	22455
pident_ge_qcov50	10	0.8043	0.9615	0.8759	21203	22455
pident_ge_qcov50	20	0.8043	0.9615	0.8759	21203	22455
pident_ge_qcov50	30	0.8043	0.9612	0.8758	21194	22455
pident_ge_qcov50	40	0.8070	0.9560	0.8752	21009	22455
pident_ge_qcov50	50	0.8134	0.9433	0.8735	20568	22455
pident_ge_qcov50	60	0.8222	0.9193	0.8681	19830	22455
pident_ge_qcov50	70	0.8360	0.8654	0.8504	18358	22455
pident_ge_qcov50	80	0.8623	0.7458	0.7998	15341	22455
pident_ge_qcov50	90	0.8937	0.4587	0.6062	9103	22455
pident_ge_qcov50	100	0.9357	0.0361	0.0695	684	22455
pident_ge_qcov70	0	0.8111	0.9479	0.8742	20728	22455
pident_ge_qcov70	10	0.8111	0.9479	0.8742	20728	22455
pident_ge_qcov70	20	0.8111	0.9479	0.8742	20728	22455
pident_ge_qcov70	30	0.8111	0.9476	0.8741	20719	22455
pident_ge_qcov70	40	0.8136	0.9437	0.8738	20574	22455
pident_ge_qcov70	50	0.8192	0.9322	0.8721	20182	22455
pident_ge_qcov70	60	0.8274	0.9100	0.8667	19507	22455
pident_ge_qcov70	70	0.8404	0.8583	0.8493	18112	22455
pident_ge_qcov70	80	0.8656	0.7411	0.7985	15185	22455
pident_ge_qcov70	90	0.8951	0.4560	0.6042	9035	22455
pident_ge_qcov70	100	0.9349	0.0356	0.0687	676	22455
