filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7465	1.0000	0.8548	10961	10961
has_any_hit	0	0.7508	0.8913	0.8151	9713	10961
pident_ge	0	0.7508	0.8913	0.8151	9713	10961
pident_ge	5	0.7508	0.8913	0.8151	9713	10961
pident_ge	10	0.7508	0.8913	0.8151	9713	10961
pident_ge	15	0.7508	0.8913	0.8151	9713	10961
pident_ge	20	0.7508	0.8912	0.8150	9712	10961
pident_ge	25	0.7512	0.8819	0.8113	9606	10961
pident_ge	30	0.7545	0.8361	0.7932	9067	10961
pident_ge	35	0.7545	0.7565	0.7555	8204	10961
pident_ge	40	0.7606	0.6494	0.7006	6985	10961
pident_ge	45	0.7603	0.5268	0.6223	5669	10961
pident_ge	50	0.7658	0.4077	0.5321	4356	10961
pident_ge	55	0.7773	0.3123	0.4455	3287	10961
pident_ge	60	0.7801	0.2242	0.3482	2351	10961
pident_ge	65	0.7819	0.1534	0.2565	1605	10961
pident_ge	70	0.7746	0.1008	0.1784	1065	10961
pident_ge	75	0.7634	0.0611	0.1132	655	10961
pident_ge	80	0.7541	0.0334	0.0639	362	10961
pident_ge	85	0.7572	0.0160	0.0314	173	10961
pident_ge	90	0.7294	0.0076	0.0150	85	10961
pident_ge	95	0.8387	0.0032	0.0063	31	10961
pident_ge	100	1.0000	0.0006	0.0012	5	10961
qcov_ge	0	0.7508	0.8913	0.8151	9713	10961
qcov_ge	5	0.7507	0.8909	0.8148	9709	10961
qcov_ge	10	0.7507	0.8890	0.8140	9690	10961
qcov_ge	15	0.7508	0.8862	0.8129	9658	10961
qcov_ge	20	0.7508	0.8813	0.8108	9605	10961
qcov_ge	25	0.7504	0.8718	0.8065	9506	10961
qcov_ge	30	0.7507	0.8629	0.8029	9405	10961
qcov_ge	35	0.7504	0.8526	0.7983	9296	10961
qcov_ge	40	0.7504	0.8404	0.7929	9163	10961
qcov_ge	45	0.7506	0.8256	0.7863	9000	10961
qcov_ge	50	0.7520	0.8112	0.7805	8826	10961
qcov_ge	55	0.7509	0.7910	0.7704	8619	10961
qcov_ge	60	0.7513	0.7663	0.7587	8346	10961
qcov_ge	65	0.7511	0.7352	0.7431	8008	10961
qcov_ge	70	0.7523	0.6998	0.7251	7611	10961
qcov_ge	75	0.7534	0.6524	0.6993	7085	10961
qcov_ge	80	0.7557	0.5914	0.6636	6403	10961
qcov_ge	85	0.7612	0.5077	0.6091	5457	10961
qcov_ge	90	0.7709	0.3994	0.5262	4239	10961
qcov_ge	95	0.7748	0.2633	0.3930	2780	10961
qcov_ge	100	0.7386	0.0435	0.0822	482	10961
bitscore_ge	0	0.7508	0.8913	0.8151	9713	10961
bitscore_ge	25	0.7508	0.8913	0.8151	9713	10961
bitscore_ge	50	0.7509	0.8907	0.8148	9706	10961
bitscore_ge	75	0.7500	0.8494	0.7966	9267	10961
bitscore_ge	100	0.7509	0.8026	0.7759	8745	10961
bitscore_ge	150	0.7501	0.7042	0.7264	7682	10961
bitscore_ge	200	0.7556	0.6069	0.6732	6572	10961
bitscore_ge	250	0.7603	0.5082	0.6092	5469	10961
bitscore_ge	300	0.7640	0.4207	0.5426	4505	10961
bitscore_ge	400	0.7643	0.2917	0.4223	3123	10961
bitscore_ge	500	0.7707	0.2074	0.3268	2202	10961
evalue_le_1e	-10	0.7506	0.8659	0.8042	9439	10961
evalue_le_1e	-5	0.7508	0.8913	0.8151	9713	10961
evalue_le_1e	-3	0.7508	0.8913	0.8151	9713	10961
evalue_le_1e	-2	0.7508	0.8913	0.8151	9713	10961
evalue_le_1e	-1	0.7508	0.8913	0.8151	9713	10961
evalue_le_1e	0	0.7508	0.8913	0.8151	9713	10961
pident_ge_qcov50	0	0.7520	0.8112	0.7805	8826	10961
pident_ge_qcov50	10	0.7520	0.8112	0.7805	8826	10961
pident_ge_qcov50	20	0.7520	0.8110	0.7804	8825	10961
pident_ge_qcov50	30	0.7555	0.7662	0.7608	8298	10961
pident_ge_qcov50	40	0.7617	0.6033	0.6733	6480	10961
pident_ge_qcov50	50	0.7674	0.3846	0.5124	4101	10961
pident_ge_qcov50	60	0.7775	0.2135	0.3350	2247	10961
pident_ge_qcov50	70	0.7707	0.0969	0.1722	1029	10961
pident_ge_qcov50	80	0.7563	0.0330	0.0632	357	10961
pident_ge_qcov50	90	0.7349	0.0075	0.0148	83	10961
pident_ge_qcov50	100	1.0000	0.0006	0.0012	5	10961
pident_ge_qcov70	0	0.7523	0.6998	0.7251	7611	10961
pident_ge_qcov70	10	0.7523	0.6998	0.7251	7611	10961
pident_ge_qcov70	20	0.7523	0.6997	0.7251	7610	10961
pident_ge_qcov70	30	0.7565	0.6688	0.7100	7233	10961
pident_ge_qcov70	40	0.7656	0.5418	0.6346	5790	10961
pident_ge_qcov70	50	0.7701	0.3520	0.4831	3740	10961
pident_ge_qcov70	60	0.7794	0.2000	0.3183	2099	10961
pident_ge_qcov70	70	0.7703	0.0914	0.1634	971	10961
pident_ge_qcov70	80	0.7557	0.0321	0.0617	348	10961
pident_ge_qcov70	90	0.7317	0.0073	0.0145	82	10961
pident_ge_qcov70	100	1.0000	0.0006	0.0012	5	10961
