filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7465	1.0000	0.8548	10961	10961
has_any_hit	0	0.7485	0.9416	0.8340	10292	10961
pident_ge	0	0.7485	0.9416	0.8340	10292	10961
pident_ge	5	0.7485	0.9416	0.8340	10292	10961
pident_ge	10	0.7485	0.9416	0.8340	10292	10961
pident_ge	15	0.7485	0.9416	0.8340	10292	10961
pident_ge	20	0.7485	0.9416	0.8340	10292	10961
pident_ge	25	0.7486	0.9399	0.8334	10272	10961
pident_ge	30	0.7487	0.9328	0.8306	10194	10961
pident_ge	35	0.7496	0.9197	0.8260	10039	10961
pident_ge	40	0.7505	0.9054	0.8207	9871	10961
pident_ge	45	0.7513	0.8916	0.8154	9710	10961
pident_ge	50	0.7520	0.8717	0.8074	9484	10961
pident_ge	55	0.7533	0.8514	0.7994	9247	10961
pident_ge	60	0.7550	0.8338	0.7924	9036	10961
pident_ge	65	0.7557	0.8190	0.7861	8867	10961
pident_ge	70	0.7558	0.8091	0.7815	8759	10961
pident_ge	75	0.7562	0.7988	0.7769	8643	10961
pident_ge	80	0.7559	0.7873	0.7713	8522	10961
pident_ge	85	0.7568	0.7783	0.7674	8414	10961
pident_ge	90	0.7594	0.7645	0.7619	8237	10961
pident_ge	95	0.7647	0.7367	0.7505	7883	10961
pident_ge	100	0.7756	0.6612	0.7139	6975	10961
qcov_ge	0	0.7485	0.9416	0.8340	10292	10961
qcov_ge	5	0.7485	0.9416	0.8340	10292	10961
qcov_ge	10	0.7487	0.9412	0.8340	10286	10961
qcov_ge	15	0.7487	0.9407	0.8338	10280	10961
qcov_ge	20	0.7487	0.9393	0.8332	10264	10961
qcov_ge	25	0.7487	0.9377	0.8326	10247	10961
qcov_ge	30	0.7486	0.9351	0.8315	10221	10961
qcov_ge	35	0.7487	0.9319	0.8303	10184	10961
qcov_ge	40	0.7492	0.9284	0.8292	10139	10961
qcov_ge	45	0.7493	0.9221	0.8268	10069	10961
qcov_ge	50	0.7493	0.9147	0.8238	9988	10961
qcov_ge	55	0.7493	0.9037	0.8193	9868	10961
qcov_ge	60	0.7494	0.8896	0.8135	9713	10961
qcov_ge	65	0.7506	0.8759	0.8085	9548	10961
qcov_ge	70	0.7514	0.8598	0.8020	9362	10961
qcov_ge	75	0.7516	0.8366	0.7918	9107	10961
qcov_ge	80	0.7541	0.8114	0.7817	8804	10961
qcov_ge	85	0.7563	0.7760	0.7660	8395	10961
qcov_ge	90	0.7608	0.7337	0.7470	7890	10961
qcov_ge	95	0.7709	0.6835	0.7245	7254	10961
qcov_ge	100	0.7900	0.5937	0.6780	6149	10961
bitscore_ge	0	0.7485	0.9416	0.8340	10292	10961
bitscore_ge	25	0.7485	0.9416	0.8340	10292	10961
bitscore_ge	50	0.7485	0.9412	0.8339	10288	10961
bitscore_ge	75	0.7493	0.9303	0.8301	10159	10961
bitscore_ge	100	0.7490	0.9190	0.8253	10039	10961
bitscore_ge	150	0.7512	0.9019	0.8197	9823	10961
bitscore_ge	200	0.7533	0.8810	0.8122	9568	10961
bitscore_ge	250	0.7546	0.8519	0.8003	9237	10961
bitscore_ge	300	0.7540	0.8170	0.7843	8866	10961
bitscore_ge	400	0.7524	0.7348	0.7435	7990	10961
bitscore_ge	500	0.7509	0.6467	0.6949	7046	10961
evalue_le_1e	-10	0.7491	0.9350	0.8318	10212	10961
evalue_le_1e	-5	0.7485	0.9416	0.8340	10292	10961
evalue_le_1e	-3	0.7485	0.9416	0.8340	10292	10961
evalue_le_1e	-2	0.7485	0.9416	0.8340	10292	10961
evalue_le_1e	-1	0.7485	0.9416	0.8340	10292	10961
evalue_le_1e	0	0.7485	0.9416	0.8340	10292	10961
pident_ge_qcov50	0	0.7493	0.9147	0.8238	9988	10961
pident_ge_qcov50	10	0.7493	0.9147	0.8238	9988	10961
pident_ge_qcov50	20	0.7493	0.9147	0.8238	9988	10961
pident_ge_qcov50	30	0.7495	0.9070	0.8208	9901	10961
pident_ge_qcov50	40	0.7514	0.8849	0.8127	9635	10961
pident_ge_qcov50	50	0.7529	0.8533	0.8000	9274	10961
pident_ge_qcov50	60	0.7556	0.8168	0.7850	8845	10961
pident_ge_qcov50	70	0.7562	0.7931	0.7742	8581	10961
pident_ge_qcov50	80	0.7565	0.7722	0.7642	8352	10961
pident_ge_qcov50	90	0.7600	0.7504	0.7552	8079	10961
pident_ge_qcov50	100	0.7762	0.6492	0.7070	6844	10961
pident_ge_qcov70	0	0.7514	0.8598	0.8020	9362	10961
pident_ge_qcov70	10	0.7514	0.8598	0.8020	9362	10961
pident_ge_qcov70	20	0.7514	0.8598	0.8020	9362	10961
pident_ge_qcov70	30	0.7520	0.8544	0.8000	9296	10961
pident_ge_qcov70	40	0.7542	0.8367	0.7933	9077	10961
pident_ge_qcov70	50	0.7554	0.8086	0.7811	8758	10961
pident_ge_qcov70	60	0.7576	0.7746	0.7660	8366	10961
pident_ge_qcov70	70	0.7576	0.7523	0.7549	8124	10961
pident_ge_qcov70	80	0.7577	0.7332	0.7453	7917	10961
pident_ge_qcov70	90	0.7608	0.7143	0.7368	7681	10961
pident_ge_qcov70	100	0.7776	0.6214	0.6908	6538	10961
