filter_rule	threshold	precision	recall	f1	n_kept	n_total
no_filter	0	0.7465	1.0000	0.8548	10961	10961
has_any_hit	0	0.7755	0.4856	0.5972	5123	10961
pident_ge	0	0.7755	0.4856	0.5972	5123	10961
pident_ge	5	0.7755	0.4856	0.5972	5123	10961
pident_ge	10	0.7755	0.4856	0.5972	5123	10961
pident_ge	15	0.7755	0.4856	0.5972	5123	10961
pident_ge	20	0.7754	0.4853	0.5970	5121	10961
pident_ge	25	0.7769	0.4532	0.5724	4773	10961
pident_ge	30	0.7807	0.3484	0.4818	3652	10961
pident_ge	35	0.7924	0.2496	0.3796	2577	10961
pident_ge	40	0.8012	0.1739	0.2858	1776	10961
pident_ge	45	0.8074	0.1194	0.2080	1210	10961
pident_ge	50	0.8178	0.0856	0.1549	856	10961
pident_ge	55	0.8230	0.0568	0.1063	565	10961
pident_ge	60	0.8199	0.0373	0.0713	372	10961
pident_ge	65	0.8103	0.0230	0.0447	232	10961
pident_ge	70	0.7708	0.0136	0.0267	144	10961
pident_ge	75	0.8090	0.0088	0.0174	89	10961
pident_ge	80	0.7857	0.0054	0.0107	56	10961
pident_ge	85	0.7368	0.0017	0.0034	19	10961
pident_ge	90	0.7273	0.0010	0.0020	11	10961
pident_ge	95	0.6250	0.0006	0.0012	8	10961
pident_ge	100	0.0000	0.0000	0.0000	0	10961
qcov_ge	0	0.7755	0.4856	0.5972	5123	10961
qcov_ge	5	0.7757	0.4848	0.5967	5114	10961
qcov_ge	10	0.7764	0.4812	0.5941	5071	10961
qcov_ge	15	0.7770	0.4731	0.5881	4982	10961
qcov_ge	20	0.7780	0.4616	0.5794	4855	10961
qcov_ge	25	0.7799	0.4492	0.5700	4712	10961
qcov_ge	30	0.7822	0.4309	0.5557	4508	10961
qcov_ge	35	0.7848	0.4146	0.5425	4322	10961
qcov_ge	40	0.7846	0.3944	0.5249	4113	10961
qcov_ge	45	0.7858	0.3748	0.5076	3903	10961
qcov_ge	50	0.7907	0.3582	0.4931	3707	10961
qcov_ge	55	0.7906	0.3350	0.4706	3467	10961
qcov_ge	60	0.7892	0.3140	0.4492	3255	10961
qcov_ge	65	0.7950	0.2897	0.4246	2981	10961
qcov_ge	70	0.7979	0.2634	0.3960	2701	10961
qcov_ge	75	0.8035	0.2325	0.3606	2367	10961
qcov_ge	80	0.8009	0.1967	0.3158	2009	10961
qcov_ge	85	0.8047	0.1556	0.2608	1582	10961
qcov_ge	90	0.8137	0.1132	0.1987	1138	10961
qcov_ge	95	0.8144	0.0649	0.1202	652	10961
qcov_ge	100	0.8730	0.0067	0.0133	63	10961
bitscore_ge	0	0.7755	0.4856	0.5972	5123	10961
bitscore_ge	25	0.7755	0.4856	0.5972	5123	10961
bitscore_ge	50	0.7749	0.4756	0.5894	5021	10961
bitscore_ge	75	0.7830	0.3907	0.5213	4083	10961
bitscore_ge	100	0.7862	0.3289	0.4638	3423	10961
bitscore_ge	150	0.7976	0.2355	0.3637	2416	10961
bitscore_ge	200	0.8006	0.1732	0.2848	1770	10961
bitscore_ge	250	0.7964	0.1286	0.2214	1321	10961
bitscore_ge	300	0.7913	0.0978	0.1740	1011	10961
bitscore_ge	400	0.7916	0.0599	0.1114	619	10961
bitscore_ge	500	0.8079	0.0401	0.0764	406	10961
evalue_le_1e	-10	0.7779	0.4302	0.5540	4525	10961
evalue_le_1e	-5	0.7755	0.4856	0.5972	5123	10961
evalue_le_1e	-3	0.7755	0.4856	0.5972	5123	10961
evalue_le_1e	-2	0.7755	0.4856	0.5972	5123	10961
evalue_le_1e	-1	0.7755	0.4856	0.5972	5123	10961
evalue_le_1e	0	0.7755	0.4856	0.5972	5123	10961
pident_ge_qcov50	0	0.7907	0.3582	0.4931	3707	10961
pident_ge_qcov50	10	0.7907	0.3582	0.4931	3707	10961
pident_ge_qcov50	20	0.7906	0.3580	0.4928	3705	10961
pident_ge_qcov50	30	0.7962	0.2617	0.3939	2689	10961
pident_ge_qcov50	40	0.8108	0.1398	0.2385	1411	10961
pident_ge_qcov50	50	0.8164	0.0744	0.1364	746	10961
pident_ge_qcov50	60	0.8280	0.0347	0.0666	343	10961
pident_ge_qcov50	70	0.7926	0.0131	0.0257	135	10961
pident_ge_qcov50	80	0.8113	0.0053	0.0104	53	10961
pident_ge_qcov50	90	0.8000	0.0010	0.0020	10	10961
pident_ge_qcov50	100	0.0000	0.0000	0.0000	0	10961
pident_ge_qcov70	0	0.7979	0.2634	0.3960	2701	10961
pident_ge_qcov70	10	0.7979	0.2634	0.3960	2701	10961
pident_ge_qcov70	20	0.7977	0.2631	0.3957	2699	10961
pident_ge_qcov70	30	0.8025	0.2036	0.3248	2076	10961
pident_ge_qcov70	40	0.8088	0.1164	0.2034	1177	10961
pident_ge_qcov70	50	0.8238	0.0669	0.1237	664	10961
pident_ge_qcov70	60	0.8323	0.0328	0.0630	322	10961
pident_ge_qcov70	70	0.8092	0.0130	0.0255	131	10961
pident_ge_qcov70	80	0.8400	0.0051	0.0102	50	10961
pident_ge_qcov70	90	1.0000	0.0010	0.0020	8	10961
pident_ge_qcov70	100	0.0000	0.0000	0.0000	0	10961
